distribution_center_id,distribution_center_name,warehouse_type,region,city,country,manager_id,product_id,storage_type,inventory_units,storage_capacity_units,occupied_capacity_units,utilization_pct,inbound_shipments,outbound_shipments,orders_processed,avg_processing_time_hours,dock_doors,employees,operating_shift,status,record_date,on_time_dispatch_pct,damaged_units,stockout_flag,last_inventory_audit_date
DC0005,Distribution Center 05,Cold Storage DC,Central,Bhopal,India,MGR0094,P00148,Ambient,18375,53412,15855,29.68,49,19,277,18.34,12,49,Night,Active,2025-01-03,99.03,14,No,2024-12-17
DC0007,Distribution Center 07,Cross-Dock Center,South,Bengaluru,India,MGR0092,P00118,Ambient,3297,46132,43804,94.95,27,80,225,3.06,49,396,Morning,Active,2025-01-03,93.9,5,No,2024-12-29
DC0008,Distribution Center 08,Cold Storage DC,East,Bhubaneswar,India,MGR0011,P00173,Frozen,4596,43895,30378,69.21,14,31,53,4.78,40,252,Evening,Temporarily Closed,2025-01-03,74.66,22,No,2024-12-28
DC0013,Distribution Center 13,Fulfillment Center,East,Guwahati,India,MGR0072,P00229,Ambient,11804,61876,20874,33.74,64,83,37,5.64,41,324,Morning,Maintenance,2025-01-03,88.04,7,No,2024-12-04
DC0006,Distribution Center 06,Cold Storage DC,North,Chandigarh,India,MGR0067,P00101,Ambient,14253,22826,18615,81.55,11,52,367,14.35,6,172,Evening,Temporarily Closed,2025-01-04,74.1,45,No,2024-12-14
DC0019,Distribution Center 19,Cold Storage DC,West,Surat,India,MGR0055,P00090,Ambient,19517,144674,137004,94.7,18,66,470,22.22,22,106,Morning,Active,2025-01-04,83.42,38,No,2024-12-26
DC0021,Distribution Center 21,Cold Storage DC,North,Delhi,India,MGR0051,P00191,Frozen,15328,132137,36100,27.32,61,22,352,5.99,9,350,Morning,Active,2025-01-04,82.93,28,No,2024-12-27
DC0022,Distribution Center 22,Fulfillment Center,South,Chennai,India,MGR0088,P00079,Ambient,18466,123290,110625,89.73,20,12,235,20.5,37,497,Night,Active,2025-01-04,86.77,1,No,2024-12-10
DC0023,Distribution Center 23,Regional DC,East,Kolkata,India,MGR0096,P00069,Ambient,3951,22182,16467,74.24,42,99,289,17.29,41,106,Morning,Active,2025-01-04,75.85,22,No,2024-12-07
DC0025,Distribution Center 25,Cross-Dock Center,Central,Bhopal,India,MGR0008,P00004,Ambient,19296,98234,46403,47.24,54,38,88,22.55,49,443,Evening,Active,2025-01-04,79.67,29,No,2024-12-12
DC0025,Distribution Center 25,Cross-Dock Center,Central,Bhopal,India,MGR0007,P00010,Ambient,14540,93516,48870,52.26,66,60,4,7.66,4,304,Night,Active,2025-01-04,95.91,46,No,2024-12-30
DC0028,Distribution Center 28,Cross-Dock Center,East,Bhubaneswar,India,MGR0046,P00037,Ambient,15872,46656,31699,67.94,56,30,365,4.73,31,332,Evening,Maintenance,2025-01-04,74.17,4,No,2024-12-24
DC0029,Distribution Center 29,Cross-Dock Center,West,Pune,India,MGR0007,P00034,Ambient,7429,106608,84344,79.12,24,15,253,12.31,19,208,Evening,Temporarily Closed,2025-01-04,97.53,35,No,2024-12-10
DC0002,Distribution Center 02,Cross-Dock Center,South,Chennai,India,MGR0018,P00082,Ambient,14681,44135,12960,29.36,64,15,283,22.66,4,94,Night,Active,2025-01-05,72.44,48,No,2025-01-01
DC0003,Distribution Center 03,Regional DC,East,Kolkata,India,MGR0075,P00243,Ambient,21285,147494,58429,39.61,44,46,272,22.63,26,182,Night,Active,2025-01-05,74.05,3,No,2024-12-19
DC0006,Distribution Center 06,Regional DC,North,Chandigarh,India,MGR0065,P00054,Frozen,23238,119009,99412,83.53,49,42,195,6.6,29,194,Evening,Active,2025-01-05,82.08,46,No,2025-01-05
DC0006,Distribution Center 06,Fulfillment Center,North,Chandigarh,India,MGR0094,P00222,Cold,21000,143096,130715,91.35,69,97,99,22.13,45,130,Morning,Temporarily Closed,2025-01-05,72.96,9,No,2024-12-19
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0078,P00107,Ambient,4011,39483,13804,34.96,21,11,415,18.18,42,338,Night,Maintenance,2025-01-05,79.5,43,No,2024-12-06
DC0014,Distribution Center 14,Fulfillment Center,West,Ahmedabad,India,MGR0087,P00245,Ambient,10773,99622,76946,77.24,48,48,90,20.37,21,310,Evening,Active,2025-01-05,94.35,7,No,2024-12-13
DC0016,Distribution Center 16,Cold Storage DC,North,Lucknow,India,MGR0067,P00021,Cold,16886,45976,44947,97.76,50,6,107,14.95,47,494,Evening,Temporarily Closed,2025-01-05,98.12,18,No,2024-12-23
DC0018,Distribution Center 18,Fulfillment Center,East,Patna,India,MGR0090,P00169,Ambient,23757,38228,19776,51.73,79,3,441,8.72,46,372,Night,Active,2025-01-05,87.95,7,No,2025-01-02
DC0021,Distribution Center 21,Fulfillment Center,North,Delhi,India,MGR0081,P00019,Ambient,4418,136107,39421,28.96,50,72,103,5.76,25,403,Night,Active,2025-01-05,76.34,43,No,2024-12-16
DC0025,Distribution Center 25,Fulfillment Center,Central,Bhopal,India,MGR0007,P00084,Cold,18849,40154,14888,37.08,5,48,175,15.33,37,319,Evening,Active,2025-01-05,84.99,22,No,2024-12-31
DC0005,Distribution Center 05,Cold Storage DC,Central,Bhopal,India,MGR0036,P00127,Ambient,5469,141622,88571,62.54,37,82,324,20.16,21,179,Evening,Active,2025-01-06,97.83,28,No,2024-12-09
DC0010,Distribution Center 10,Fulfillment Center,Central,Nagpur,India,MGR0042,P00217,Ambient,23077,144693,138380,95.64,69,14,182,12.41,7,388,Morning,Temporarily Closed,2025-01-06,92.62,29,No,2024-12-28
DC0012,Distribution Center 12,Fulfillment Center,South,Hyderabad,India,MGR0081,P00215,Ambient,24792,104902,89111,84.95,7,52,22,9.77,26,115,Night,Maintenance,2025-01-06,77.03,5,No,2024-12-15
DC0016,Distribution Center 16,Cold Storage DC,North,Lucknow,India,MGR0090,P00238,Ambient,20227,87860,39277,44.7,33,74,468,13.45,39,66,Night,Maintenance,2025-01-06,77.24,35,No,2024-12-10
DC0019,Distribution Center 19,Cross-Dock Center,West,Surat,India,MGR0063,P00030,Ambient,3727,108304,95886,88.53,76,90,6,23.86,34,100,Night,Temporarily Closed,2025-01-06,93.32,18,No,2024-12-08
DC0026,Distribution Center 26,Cold Storage DC,North,Chandigarh,India,MGR0073,P00141,Cold,16437,143208,80019,55.88,56,61,360,18.32,25,39,Evening,Maintenance,2025-01-06,86.63,39,No,2024-12-10
DC0002,Distribution Center 02,Cold Storage DC,South,Chennai,India,MGR0002,P00047,Ambient,12353,149897,137406,91.67,49,47,151,11.33,23,495,Morning,Active,2025-01-07,98.68,2,No,2025-01-01
DC0004,Distribution Center 04,Cross-Dock Center,West,Mumbai,India,MGR0060,P00052,Ambient,11599,63090,29294,46.43,44,14,120,22.15,12,270,Morning,Maintenance,2025-01-07,83.07,10,No,2024-12-28
DC0005,Distribution Center 05,Regional DC,Central,Bhopal,India,MGR0073,P00096,Frozen,12393,146016,77008,52.74,49,51,429,20.12,47,332,Evening,Active,2025-01-07,75.75,35,No,2024-12-17
DC0006,Distribution Center 06,Fulfillment Center,North,Chandigarh,India,MGR0042,P00057,Ambient,23673,41924,36273,86.52,41,2,477,15.8,9,81,Night,Active,2025-01-07,92.73,10,No,2024-12-20
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0097,P00166,Ambient,15996,145071,100564,69.32,16,12,34,7.78,16,54,Night,Maintenance,2025-01-07,89.32,29,No,2024-12-15
DC0013,Distribution Center 13,Cold Storage DC,East,Guwahati,India,MGR0001,P00006,Ambient,7477,149698,97950,65.43,74,86,103,7.76,43,293,Evening,Active,2025-01-07,81.85,9,No,2024-12-30
DC0029,Distribution Center 29,Regional DC,West,Pune,India,MGR0023,P00101,Ambient,13696,33099,28073,84.82,58,64,208,5.51,22,380,Morning,Active,2025-01-07,78.97,37,No,2024-12-19
DC0006,Distribution Center 06,Regional DC,North,Chandigarh,India,MGR0043,P00025,Hazardous,553,114167,58351,51.11,34,58,489,8.85,49,308,Evening,Active,2025-01-08,82.07,23,No,2024-12-29
DC0010,Distribution Center 10,Cold Storage DC,Central,Nagpur,India,MGR0006,P00193,Ambient,12757,83600,34945,41.8,76,82,233,11.18,8,359,Morning,Active,2025-01-08,76.46,20,No,2024-12-15
DC0015,Distribution Center 15,Fulfillment Center,Central,Indore,India,MGR0055,P00125,Ambient,8848,53878,22672,42.08,62,38,109,16.85,50,302,Evening,Active,2025-01-08,94.11,49,No,2024-12-30
DC0019,Distribution Center 19,Regional DC,West,Surat,India,MGR0089,P00008,Ambient,8467,113363,34432,30.37,35,56,307,23.15,38,202,Evening,Active,2025-01-08,97.55,7,No,2024-12-30
DC0019,Distribution Center 19,Fulfillment Center,West,Surat,India,MGR0025,P00142,Hazardous,13317,103612,53259,51.4,8,87,52,6.67,39,345,Night,Temporarily Closed,2025-01-08,99.56,15,No,2024-12-12
DC0020,Distribution Center 20,Regional DC,Central,Raipur,India,MGR0093,P00235,Frozen,5759,28020,22756,81.21,41,85,277,21.76,21,45,Morning,Active,2025-01-08,93.72,28,No,2024-12-24
DC0026,Distribution Center 26,Fulfillment Center,North,Chandigarh,India,MGR0038,P00013,Ambient,4648,132507,109570,82.69,27,75,494,14.71,28,82,Night,Maintenance,2025-01-08,91.59,22,No,2024-12-20
DC0010,Distribution Center 10,Cross-Dock Center,Central,Nagpur,India,MGR0038,P00242,Ambient,19257,107523,38382,35.7,68,28,238,10.97,20,219,Evening,Active,2025-01-09,91.11,6,No,2025-01-01
DC0011,Distribution Center 11,Cross-Dock Center,North,Jaipur,India,MGR0023,P00080,Ambient,6768,126583,64885,51.26,64,5,50,9.93,24,383,Morning,Active,2025-01-09,78.47,42,No,2024-12-13
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0035,P00187,Ambient,8546,44222,33831,76.5,41,7,281,6.09,13,223,Evening,Temporarily Closed,2025-01-09,79.2,29,No,2024-12-18
DC0021,Distribution Center 21,Regional DC,North,Delhi,India,MGR0050,P00082,Ambient,10606,106762,39949,37.42,3,2,498,14.0,28,264,Night,Active,2025-01-09,83.01,1,No,2024-12-13
DC0021,Distribution Center 21,Regional DC,North,Delhi,India,MGR0003,P00161,Ambient,19171,96651,48357,50.03,79,57,126,6.11,7,285,Evening,Active,2025-01-09,94.99,7,No,2024-12-21
DC0023,Distribution Center 23,Regional DC,East,Kolkata,India,MGR0015,P00011,Ambient,15351,55581,26556,47.78,38,94,198,2.4,35,157,Morning,Active,2025-01-09,87.07,36,No,2024-12-17
DC0028,Distribution Center 28,Cross-Dock Center,East,Bhubaneswar,India,MGR0084,P00102,Ambient,8648,65659,21321,32.47,70,68,262,8.06,4,128,Night,Maintenance,2025-01-09,77.21,45,No,2024-12-12
DC0006,Distribution Center 06,Cross-Dock Center,North,Chandigarh,India,MGR0063,P00057,Ambient,21091,50635,31456,62.12,77,38,400,11.39,15,489,Morning,Active,2025-01-10,81.41,19,No,2025-01-10
DC0007,Distribution Center 07,Cross-Dock Center,South,Bengaluru,India,MGR0052,P00059,Ambient,16448,140360,74303,52.94,34,33,336,3.43,14,218,Morning,Active,2025-01-10,91.64,19,No,2024-12-11
DC0007,Distribution Center 07,Cross-Dock Center,South,Bengaluru,India,MGR0011,P00072,Ambient,24470,93052,53008,56.97,40,54,88,6.78,6,484,Night,Active,2025-01-10,92.66,16,No,2024-12-25
DC0007,Distribution Center 07,Fulfillment Center,South,Bengaluru,India,MGR0011,P00193,Ambient,20203,25423,24711,97.2,18,40,49,23.23,32,488,Evening,Active,2025-01-10,79.27,6,No,2024-12-22
DC0012,Distribution Center 12,Fulfillment Center,South,Hyderabad,India,MGR0017,P00168,Ambient,24938,149437,82432,55.16,39,11,132,4.13,41,277,Evening,Active,2025-01-10,78.22,35,No,2025-01-09
DC0017,Distribution Center 17,Fulfillment Center,South,Kochi,India,MGR0011,P00179,Hazardous,15315,52792,30988,58.7,10,57,232,4.47,33,76,Morning,Active,2025-01-10,94.78,40,No,2025-01-04
DC0020,Distribution Center 20,Cross-Dock Center,Central,Raipur,India,MGR0090,P00115,Ambient,6247,49913,23001,46.08,12,34,267,5.92,7,196,Morning,Active,2025-01-10,87.78,49,No,2024-12-19
DC0007,Distribution Center 07,Cold Storage DC,South,Bengaluru,India,MGR0026,P00061,Ambient,24433,149577,71172,47.58,4,41,226,7.88,35,252,Morning,Maintenance,2025-01-11,89.79,42,No,2024-12-31
DC0010,Distribution Center 10,Cross-Dock Center,Central,Nagpur,India,MGR0077,P00245,Ambient,9789,74384,49171,66.1,42,66,12,10.76,13,204,Night,Active,2025-01-11,72.12,14,No,2025-01-10
DC0012,Distribution Center 12,Cross-Dock Center,South,Hyderabad,India,MGR0018,P00070,Ambient,5560,83176,71131,85.52,13,46,481,21.29,47,352,Evening,Active,2025-01-11,92.13,11,No,2024-12-22
DC0012,Distribution Center 12,Cold Storage DC,South,Hyderabad,India,MGR0030,P00206,Ambient,24611,51884,17172,33.1,47,15,209,9.77,15,352,Evening,Active,2025-01-11,89.61,41,No,2024-12-20
DC0014,Distribution Center 14,Regional DC,West,Ahmedabad,India,MGR0018,P00202,Frozen,10460,59917,29819,49.77,65,77,222,11.21,8,198,Evening,Maintenance,2025-01-11,75.2,40,No,2024-12-30
DC0016,Distribution Center 16,Regional DC,North,Lucknow,India,MGR0019,P00164,Ambient,23438,136847,51373,37.54,6,31,214,9.04,4,411,Night,Temporarily Closed,2025-01-11,91.45,43,No,2024-12-15
DC0020,Distribution Center 20,Cold Storage DC,Central,Raipur,India,MGR0052,P00050,Ambient,16966,134766,86304,64.04,4,22,420,11.28,10,161,Night,Active,2025-01-11,95.85,12,No,2024-12-29
DC0022,Distribution Center 22,Regional DC,South,Chennai,India,MGR0001,P00094,Hazardous,12730,105646,64495,61.05,18,41,283,12.25,40,388,Morning,Active,2025-01-11,90.7,16,No,2024-12-30
DC0023,Distribution Center 23,Fulfillment Center,East,Kolkata,India,MGR0018,P00122,Ambient,11953,39287,24710,62.9,27,39,411,22.89,15,157,Evening,Active,2025-01-11,82.71,47,No,2025-01-07
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0080,P00115,Ambient,24701,130071,64716,49.75,79,85,398,5.77,38,138,Morning,Temporarily Closed,2025-01-11,79.62,2,No,2025-01-04
DC0025,Distribution Center 25,Fulfillment Center,Central,Bhopal,India,MGR0032,P00168,Ambient,1337,108989,88043,80.78,16,23,85,15.79,16,377,Night,Active,2025-01-11,74.19,5,No,2025-01-08
DC0027,Distribution Center 27,Regional DC,South,Bengaluru,India,MGR0076,P00006,Ambient,15806,93440,66355,71.01,40,0,264,12.15,5,76,Morning,Maintenance,2025-01-11,79.07,32,No,2025-01-08
DC0029,Distribution Center 29,Cross-Dock Center,West,Pune,India,MGR0097,P00121,Ambient,15267,21637,13291,61.43,27,68,335,17.13,29,57,Morning,Active,2025-01-11,78.22,22,No,2025-01-04
DC0001,Distribution Center 01,Regional DC,North,Delhi,India,MGR0008,P00226,Ambient,21790,129175,54834,42.45,59,70,342,8.42,25,147,Night,Maintenance,2025-01-12,92.81,18,No,2024-12-25
DC0007,Distribution Center 07,Fulfillment Center,South,Bengaluru,India,MGR0080,P00160,Ambient,21706,108456,61824,57.0,46,68,228,5.59,19,283,Morning,Active,2025-01-12,76.55,21,No,2024-12-22
DC0012,Distribution Center 12,Cold Storage DC,South,Hyderabad,India,MGR0031,P00203,Hazardous,16969,21484,16678,77.63,14,39,365,23.26,11,494,Night,Active,2025-01-12,92.7,39,No,2025-01-02
DC0013,Distribution Center 13,Fulfillment Center,East,Guwahati,India,MGR0014,P00182,Cold,17792,125543,52062,41.47,73,6,218,16.32,34,380,Night,Temporarily Closed,2025-01-12,85.16,48,No,2024-12-30
DC0017,Distribution Center 17,Cold Storage DC,South,Kochi,India,MGR0003,P00122,Ambient,9725,49180,17903,36.4,65,84,237,18.63,29,170,Morning,Maintenance,2025-01-12,76.96,36,No,2025-01-05
DC0017,Distribution Center 17,Cross-Dock Center,South,Kochi,India,MGR0048,P00196,Ambient,19750,83909,67887,80.91,22,74,272,14.79,42,347,Morning,Active,2025-01-12,75.1,33,No,2025-01-07
DC0020,Distribution Center 20,Cold Storage DC,Central,Raipur,India,MGR0063,P00171,Cold,4510,27423,9423,34.36,7,43,493,11.54,39,480,Morning,Active,2025-01-12,79.77,9,No,2024-12-14
DC0020,Distribution Center 20,Fulfillment Center,Central,Raipur,India,MGR0011,P00232,Frozen,2981,40059,26299,65.65,49,74,378,3.45,46,454,Evening,Temporarily Closed,2025-01-12,77.6,25,No,2024-12-26
DC0027,Distribution Center 27,Fulfillment Center,South,Bengaluru,India,MGR0082,P00062,Ambient,8770,116501,87108,74.77,51,36,186,7.31,33,92,Evening,Active,2025-01-12,82.45,11,No,2024-12-19
DC0030,Distribution Center 30,Fulfillment Center,Central,Nagpur,India,MGR0050,P00238,Ambient,10282,40413,17895,44.28,71,59,201,22.5,24,262,Night,Maintenance,2025-01-12,95.28,46,No,2025-01-02
DC0003,Distribution Center 03,Cross-Dock Center,East,Kolkata,India,MGR0093,P00237,Ambient,11070,115307,86966,75.42,43,61,43,17.13,6,86,Evening,Active,2025-01-13,74.5,19,No,2024-12-29
DC0004,Distribution Center 04,Cross-Dock Center,West,Mumbai,India,MGR0060,P00115,Ambient,16753,36663,10692,29.16,37,75,287,14.1,41,408,Evening,Active,2025-01-13,76.75,16,No,2025-01-07
DC0008,Distribution Center 08,Regional DC,East,Bhubaneswar,India,MGR0046,P00171,Ambient,11273,80142,50927,63.55,37,67,398,8.21,10,364,Evening,Active,2025-01-13,95.15,30,No,2024-12-14
DC0011,Distribution Center 11,Cross-Dock Center,North,Jaipur,India,MGR0035,P00159,Ambient,9843,56821,34680,61.03,25,21,88,1.72,37,216,Evening,Maintenance,2025-01-13,93.47,18,No,2024-12-26
DC0018,Distribution Center 18,Cold Storage DC,East,Patna,India,MGR0074,P00109,Ambient,15974,135409,66262,48.93,40,75,190,7.2,39,479,Morning,Maintenance,2025-01-13,96.02,6,No,2025-01-01
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0048,P00042,Ambient,19061,81308,53866,66.25,65,40,452,8.67,47,251,Morning,Active,2025-01-13,77.77,11,No,2025-01-03
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0087,P00174,Ambient,5427,24404,19762,80.98,41,66,359,21.13,50,24,Evening,Active,2025-01-13,89.09,8,No,2025-01-08
DC0026,Distribution Center 26,Cold Storage DC,North,Chandigarh,India,MGR0097,P00173,Ambient,2876,83814,72341,86.31,35,96,455,8.01,39,472,Morning,Active,2025-01-13,98.92,29,No,2025-01-07
DC0028,Distribution Center 28,Regional DC,East,Bhubaneswar,India,MGR0005,P00123,Frozen,22432,34985,18368,52.5,46,72,86,13.18,46,473,Evening,Active,2025-01-13,85.19,45,No,2024-12-15
DC0028,Distribution Center 28,Cold Storage DC,East,Bhubaneswar,India,MGR0079,P00178,Ambient,13352,73875,22166,30.0,53,17,28,4.34,24,130,Night,Active,2025-01-13,92.15,33,No,2024-12-15
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0063,P00155,Cold,17980,140781,95781,68.04,69,60,334,13.08,36,79,Evening,Temporarily Closed,2025-01-14,97.97,1,No,2025-01-11
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0074,P00212,Ambient,10762,24833,14765,59.46,26,86,231,12.23,7,219,Morning,Maintenance,2025-01-14,99.38,19,No,2024-12-26
DC0006,Distribution Center 06,Cold Storage DC,North,Chandigarh,India,MGR0007,P00060,Cold,12771,119654,88322,73.81,17,0,159,5.73,10,327,Morning,Temporarily Closed,2025-01-14,73.12,21,No,2025-01-07
DC0013,Distribution Center 13,Regional DC,East,Guwahati,India,MGR0075,P00135,Ambient,10688,67367,46772,69.43,24,2,330,17.64,14,358,Night,Active,2025-01-14,88.46,10,No,2024-12-26
DC0017,Distribution Center 17,Fulfillment Center,South,Kochi,India,MGR0077,P00096,Frozen,19390,32155,10789,33.55,66,96,366,7.62,21,118,Morning,Active,2025-01-14,97.22,41,No,2025-01-12
DC0023,Distribution Center 23,Regional DC,East,Kolkata,India,MGR0010,P00058,Cold,8681,68426,60565,88.51,3,57,484,19.72,33,445,Night,Temporarily Closed,2025-01-14,77.84,37,No,2024-12-30
DC0026,Distribution Center 26,Cold Storage DC,North,Chandigarh,India,MGR0067,P00075,Ambient,21439,47558,37878,79.65,52,65,342,23.6,13,368,Morning,Active,2025-01-14,79.86,40,No,2025-01-14
DC0028,Distribution Center 28,Cross-Dock Center,East,Bhubaneswar,India,MGR0061,P00085,Ambient,11871,138821,68708,49.49,27,0,190,2.96,43,67,Morning,Active,2025-01-14,74.33,33,No,2025-01-11
DC0030,Distribution Center 30,Cold Storage DC,Central,Nagpur,India,MGR0036,P00044,Cold,2787,117641,84112,71.5,61,16,160,11.61,35,418,Evening,Maintenance,2025-01-14,72.6,42,No,2024-12-23
DC0002,Distribution Center 02,Fulfillment Center,South,Chennai,India,MGR0011,P00089,Cold,14076,130265,104699,80.37,78,41,459,11.4,13,470,Night,Maintenance,2025-01-15,79.13,16,No,2024-12-30
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0057,P00188,Ambient,295,112713,53081,47.09,31,48,228,2.36,45,431,Night,Active,2025-01-15,72.17,43,Yes,2025-01-09
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0013,P00067,Ambient,8816,131345,58179,44.29,22,46,381,14.71,16,350,Evening,Temporarily Closed,2025-01-15,80.32,16,No,2024-12-26
DC0018,Distribution Center 18,Cross-Dock Center,East,Patna,India,MGR0069,P00030,Ambient,9584,145396,102460,70.47,78,22,477,17.86,28,107,Evening,Active,2025-01-15,93.55,28,No,2025-01-04
DC0018,Distribution Center 18,Fulfillment Center,East,Patna,India,MGR0066,P00158,Ambient,3538,78055,59317,75.99,15,62,481,5.97,16,31,Morning,Temporarily Closed,2025-01-15,85.92,27,No,2024-12-16
DC0018,Distribution Center 18,Cold Storage DC,East,Patna,India,MGR0100,P00235,Hazardous,5606,55650,48610,87.35,20,49,240,10.27,22,427,Night,Active,2025-01-15,95.9,19,No,2025-01-09
DC0020,Distribution Center 20,Regional DC,Central,Raipur,India,MGR0022,P00158,Ambient,2403,35528,20160,56.74,62,5,8,3.18,18,447,Evening,Maintenance,2025-01-15,79.32,33,No,2024-12-17
DC0025,Distribution Center 25,Regional DC,Central,Bhopal,India,MGR0031,P00034,Ambient,10577,146686,119329,81.35,35,48,185,17.02,30,290,Morning,Temporarily Closed,2025-01-15,83.8,3,No,2024-12-19
DC0025,Distribution Center 25,Cross-Dock Center,Central,Bhopal,India,MGR0074,P00213,Ambient,979,47458,25342,53.4,62,63,359,21.28,20,435,Evening,Active,2025-01-15,94.64,46,No,2025-01-08
DC0005,Distribution Center 05,Regional DC,Central,Bhopal,India,MGR0037,P00167,Cold,15354,148279,41456,27.96,35,13,91,9.48,29,307,Night,Active,2025-01-16,89.35,23,No,2024-12-25
DC0006,Distribution Center 06,Cross-Dock Center,North,Chandigarh,India,MGR0085,P00104,Ambient,374,112836,94437,83.69,7,16,128,10.89,29,297,Night,Active,2025-01-16,86.78,16,Yes,2024-12-21
